kp,Ap,KP-MAX,KP-MIN,KP-AVE,SUNSPOTS
1-Dec,7,3,1,1.625,0
2,3,2,0,0.5,0
3,1,1,0,0.125,0
4,10,4,0,1.875,0
5,,5,3,4,0
6,15,4,2,2.875,13
7,10,3,1,2.125,11
8,5,2,1,1.25,0
9,3,2,0,0.75,0
10,2,1,0,0.5,11
11,10,3,1,2.125,13
12,12,4,1,2.5,13
13,6,3,0,1.5,0
14,4,3,0,0.75,0
15,3,1,0,0.625,0
16,3,2,0,0.75,0
17,23,5,3,3.75,0
18,16,4,1,2.875,0
19,4,2,0,1.125,0
20,5,2,0,1.375,16
21,2,1,0,0.5,18
22,1,1,0,0.125,18
23,5,3,0,1.25,22
24,11,3,1,2.25,22
25,9,3,1,2.125,17
26,10,4,1,2.375,14
27,7,3,1,1.875,11
28,4,2,0,1.125,0
29,4,2,0,0.875,0
30,3,2,0,0.625,0
31,3,2,0,0.5,0
