kp,Ap,KP-MAX,KP-MIN,KP-AVE,SUNSPOTS
1-Feb,28,5,3,3.75,28
2,21,4,3,3.625,40
3,18,4,2,3.125,39
4,10,3,2,2.25,22
5,15,4,2,3,22
6,12,4,2,2.75,15
7,7,3,1,1.875,11
8,4,2,0,1.125,0
9,6,2,1,1.625,15
10,7,2,1,1.625,18
11,4,3,0,0.875,18
12,3,2,0,0.5,18
13,5,2,0,1.125,16
14,1,1,0,0.25,15
15,2,1,0,0.75,23
16,8,3,1,1.875,23
17,19,4,2,3.25,14
18,16,4,1,2.625,13
19,10,3,0,2,23
20,9,3,0,2,25
21,4,2,0,1.25,19
22,9,4,1,2.125,17
23,10,3,2,2.25,18
24,18,5,2,3.25,27
25,6,3,0,1.5,25
26,2,1,0,0.375,35
27,7,3,1,1.625,40
28,8,3,1,1.875,39
