kp,Ap,KP-MAX,KP-MIN,KP-AVE,SUNSPOTS
1-Mar,35,6,3,4.25,55
2,32,5,2,4,52
3,18,4,1,3.125,36
4,20,4,3,3.375,0
5,18,4,3,3.25,11
6,23,5,1,3.5,0
7,14,3,2,2.875,0
8,12,4,1,2.5,0
9,13,4,2,2.75,0
10,10,3,0,2,0
11,5,4,0,1.125,0
12,8,4,1,1.75,0
13,2,1,0,0.5,0
14,4,2,0,1,0
15,6,3,1,1.5,0
16,4,3,0,1,0
17,2,1,0,0.375,0
18,2,1,0,0.375,0
19,2,1,0,0.375,0
20,1,1,0,0.125,0
21,24,5,1,3.375,12
22,24,4,3,3.75,12
23,9,4,1,2,12
24,5,2,0,1.375,12
25,3,1,0,0.625,11
26,3,2,0,0.75,20
27,46,6,2,4.625,49
28,27,5,3,3.625,51
29,20,4,2,3.25,53
30,19,4,2,3.25,33
31,27,5,3,4,65
