kp,Ap,KP-MAX,KP-MIN,KP-AVE,SUNSPOTS
1-May,4,2,0,1,11
2,4,2,0,0.75,25
3,3,1,0,0.625,15
4,5,3,0,1.125,29
5,4,3,0,0.875,31
6,4,2,0,1,26
7,8,3,1,1.875,23
8,5,2,1,1.25,11
9,5,2,1,1.25,0
10,5,3,0,1.25,0
11,5,3,1,1.5,0
12,7,3,1,1.75,0
13,4,1,0,0.875,0
14,8,3,1,2,0
15,12,4,0,2.375,0
16,7,3,1,1.875,11
17,7,2,1,1.875,13
18,9,4,0,1.625,24
19,12,4,1,2.625,24
20,22,4,3,3.75,22
21,8,3,1,2,35
22,9,3,2,2.25,55
23,7,3,1,1.75,47
24,3,1,0,0.625,15
25,2,1,0,0.375,19
26,2,1,0,0.375,22
27,13,6,0,1.75,21
28,49,7,1,4,20
29,9,4,0,1.75,16
30,5,3,0,1,0
31,3,1,0,0.625,11
