kp,Ap,KP-MAX,KP-MIN,KP-AVE,SUNSPOTS
1-Sep,16,4,2,3,62
2,20,5,2,3.5,71
3,7,3,1,1.875,96
4,16,5,2,3.125,122
5,11,4,1,2.375,122
6,8,3,0,1.75,79
7,36,8,2,3.875,94
8,106,8,4,6,89
9,3,2,0,0.625,49
10,4,3,0,1,38
11,11,3,2,2.625,23
12,17,5,2,2.75,11
13,14,5,0,2.375,11
14,22,5,1,3.125,11
15,34,6,3,4.25,13
16,28,5,3,3.75,13
17,14,4,1,2.625,13
18,20,4,3,3.5,12
19,7,3,1,1.875,11
20,8,3,1,2,22
21,5,2,0,1.25,22
22,5,2,0,1.125,22
23,4,2,1,1.125,12
24,6,3,1,1.625,22
25,4,2,0,0.75,36
26,3,2,0,0.625,40
27,37,6,3,4.375,35
28,51,7,4,5,40
29,11,3,2,2.5,39
30,14,4,2,2.75,38
