kp,0h-3h,3h-6h,6h-9h,9h-12h,12h-15h,15h-18h,18h-21h,21h-00h,Ap,,KP-MAX,KP-MIN,KP-AVE,SUNSPOTS
1-Apr,3,3,3,3,3,4,3,2,15,,4,2,3,79
2,2,2,2,1,2,3,1,0,7,,3,0,1.625,75
3,0,1,1,1,2,1,1,1,4,,2,0,1,97
4,3,4,5,5,3,1,1,3,19,,5,1,3.125,75
5,2,1,2,1,1,2,2,3,8,,3,1,1.75,37
6,1,0,1,1,2,3,2,1,6,,3,0,1.375,38
7,3,2,2,2,1,1,3,3,9,,3,1,2.125,27
8,3,3,4,3,2,2,3,4,15,,4,2,3,0
9,4,5,3,3,2,2,1,1,15,,5,1,2.625,13
10,2,0,0,0,2,1,1,1,4,,2,0,0.875,13
11,1,1,3,3,2,2,4,2,10,,4,1,2.25,12
12,3,2,1,1,0,0,0,0,5,,3,0,0.875,13
13,0,1,0,0,1,1,2,1,4,,2,0,0.75,12
14,3,3,3,2,3,2,3,2,11,,3,2,2.625,11
15,3,2,2,0,1,1,1,0,6,,3,0,1.25,11
16,1,1,1,1,0,0,1,1,3,,1,0,0.75,0
17,0,0,1,1,1,1,1,1,3,,1,0,0.75,0
18,2,0,0,1,1,1,2,3,6,,3,0,1.25,12
19,3,4,3,1,1,2,3,3,14,,4,1,2.5,14
20,5,6,4,5,3,3,3,2,28,,6,2,3.875,26
21,0,1,1,0,2,4,5,5,17,,5,0,2.25,39
22,5,6,5,5,5,5,4,5,47,,6,4,5,29
23,4,4,5,4,5,5,4,4,36,,5,4,4.375,43
24,3,4,3,4,2,3,4,3,19,,4,2,3.25,41
25,3,3,2,2,3,2,2,2,10,,3,2,2.375,36
26,3,1,2,1,2,2,2,2,8,,3,1,1.875,36
27,2,2,2,1,1,1,2,1,6,,2,1,1.5,23
28,1,1,2,1,1,1,1,2,5,,2,1,1.25,35
29,2,1,2,1,1,1,2,2,5,,2,1,1.5,34
30,1,1,1,1,1,2,2,2,5,,2,1,1.375,33
