kp,0h-3h,3h-6h,6h-9h,9h-12h,12h-15h,15h-18h,18h-21h,21h-00h,Ap,,KP-MAX,KP-MIN,KP-AVE,SUNSPOTS
1-augst,1,1,1,2,2,1,0,1,4,,2,0,1.125,0
2,1,1,0,1,2,2,1,1,4,,2,0,1.125,12
3,0,1,0,1,2,4,4,4,10,,4,0,2,13
4,2,3,4,4,4,4,3,3,22,,4,2,3.375,13
5,3,4,3,2,3,4,3,3,15,,4,2,3.125,13
6,3,2,2,4,2,1,3,2,12,,4,1,2.375,13
7,1,2,2,2,2,1,0,1,4,,2,0,1.375,11
8,0,1,1,1,1,2,2,1,4,,2,0,1.125,11
9,0,0,1,1,1,1,1,1,4,,1,0,0.75,11
10,0,1,1,1,2,1,0,2,4,,2,0,1,11
11,2,2,1,1,1,2,3,1,7,,3,1,1.625,11
12,3,3,2,1,1,1,3,3,9,,3,1,2.125,11
13,2,2,2,1,2,1,2,2,6,,2,1,1.75,11
14,2,1,0,1,1,1,1,1,4,,2,0,1,12
15,1,1,0,0,0,0,0,1,2,,1,0,0.375,21
16,1,1,1,1,1,1,2,2,5,,2,1,1.25,30
17,3,2,5,5,5,3,4,4,24,,5,2,3.875,30
18,4,3,2,3,4,3,5,3,20,,5,2,3.375,41
19,4,3,5,4,4,5,3,4,29,,5,3,4,33
20,4,5,3,2,2,3,3,3,20,,5,2,3.125,44
21,2,2,3,3,2,1,2,3,9,,3,1,2.25,43
22,5,4,3,2,3,2,2,3,17,,5,2,3,48
23,3,4,3,2,4,5,5,3,23,,5,2,3.625,40
24,3,4,3,2,2,2,0,0,10,,4,0,2,43
25,0,1,1,1,2,1,1,2,4,,2,0,1.125,39
26,0,0,1,0,1,1,1,1,3,,1,0,0.625,35
27,2,1,0,2,1,3,3,3,8,,3,0,1.875,22
28,1,1,1,1,0,1,0,1,2,,1,0,0.75,17
29,1,1,1,1,1,2,4,2,8,,4,1,1.625,35
30,2,2,1,0,0,0,1,0,3,,2,0,0.75,42
31,2,3,5,5,5,4,4,3,30,,5,2,3.875,59
