kp,0h-3h,3h-6h,6h-9h,9h-12h,12h-15h,15h-18h,18h-21h,21h-00h,Ap,kp max,kp min,kp ave,sunspot,,,,,,,,,,,
1-Dec,1,3,1,1,1,3,2,1,7,3,1,1.625,0,,,,,,,,,,,
2,1,0,0,0,0,2,0,1,3,2,0,0.5,0,,,,,,,,,,,
3,0,0,0,0,0,0,0,1,1,1,0,0.125,0,,,,,,,,,,,
4,0,0,2,1,2,3,3,4,10,4,0,1.875,0,,,,,,,,,,,
5,3,3,4,5,5,4,4,4,,5,3,4,0,,,,,,,,,,,
6,3,4,3,2,3,3,3,2,15,4,2,2.875,13,,,,,,,,,,,
7,2,2,2,1,3,3,2,2,10,3,1,2.125,11,,,,,,,,,,,
8,1,1,2,1,2,1,1,1,5,2,1,1.25,0,,,,,,,,,,,
9,1,0,0,0,2,2,1,0,3,2,0,0.75,0,,,,,,,,,,,
10,0,0,1,0,1,1,0,1,2,1,0,0.5,11,,,,,,,,,,,
11,1,3,2,2,3,2,2,2,10,3,1,2.125,13,,,,,,,,,,,
12,2,3,2,2,1,3,4,3,12,4,1,2.5,13,,,,,,,,,,,
13,1,0,1,1,2,2,3,2,6,3,0,1.5,0,,,,,,,,,,,
14,3,1,0,0,0,0,1,1,4,3,0,0.75,0,,,,,,,,,,,
15,0,0,0,1,1,1,1,1,3,1,0,0.625,0,,,,,,,,,,,
16,0,0,1,1,1,1,0,2,3,2,0,0.75,0,,,,,,,,,,,
17,3,3,5,3,3,4,5,4,23,5,3,3.75,0,,,,,,,,,,,
18,4,4,4,3,3,2,2,1,16,4,1,2.875,0,,,,,,,,,,,
19,1,1,0,0,1,2,2,2,4,2,0,1.125,0,,,,,,,,,,,
20,2,2,1,2,1,1,2,0,5,2,0,1.375,16,,,,,,,,,,,
21,0,0,1,1,1,1,0,0,2,1,0,0.5,18,,,,,,,,,,,
22,0,0,0,0,0,0,0,1,1,1,0,0.125,18,,,,,,,,,,,
23,1,3,1,2,1,0,1,1,5,3,0,1.25,22,,,,,,,,,,,
24,1,2,2,2,3,3,2,3,11,3,1,2.25,22,,,,,,,,,,,
25,3,1,2,3,1,2,3,2,9,3,1,2.125,17,,,,,,,,,,,
26,3,3,1,2,1,2,4,3,10,4,1,2.375,14,,,,,,,,,,,
27,2,2,1,1,1,3,2,3,7,3,1,1.875,11,,,,,,,,,,,
28,1,0,1,1,2,1,1,2,4,2,0,1.125,0,,,,,,,,,,,
29,1,1,0,0,1,1,2,1,4,2,0,0.875,0,,,,,,,,,,,
30,0,1,0,0,1,1,0,2,3,2,0,0.625,0,,,,,,,,,,,
31,0,0,0,0,0,1,1,2,3,2,0,0.5,0,,,,,,,,,,,
