kp,00-03h,03-06h,06-09h,09-12h,12-15h,15-18h,18-21h,21-00h,Ap,,KP-MAX,KP-MIN,KP-AVE,SUNSPOTS
1-Jan,3,4,3,2,2,3,2,2,12,,4,2,2.625,0
2,2,2,2,2,1,2,0,1,6,,2,0,1.5,0
3,0,2,2,4,3,3,3,3,11,,4,0,2.5,11
4,1,2,1,2,2,2,4,3,10,,4,1,2.125,0
5,3,3,2,2,3,4,4,4,17,,4,2,3.125,0
6,4,4,3,2,3,3,3,3,14,,4,2,3.125,0
7,4,3,3,3,4,4,3,3,20,,4,3,3.375,0
8,3,3,2,3,3,3,4,4,16,,4,2,3.125,0
9,3,2,2,2,3,3,1,2,11,,3,1,2.25,0
10,2,2,2,1,1,4,3,3,10,,4,1,2.25,0
11,3,2,2,0,1,2,2,2,7,,3,0,1.75,0
12,2,2,0,0,0,0,1,2,4,,2,0,0.875,11
13,1,1,0,0,1,2,1,1,4,,2,0,0.875,24
14,1,2,1,0,1,1,1,1,4,,2,0,1,24
15,2,1,2,1,1,1,2,0,4,,2,0,1.25,23
16,1,0,0,0,0,0,1,0,2,,1,0,0.25,24
17,1,0,0,0,1,2,0,0,3,,2,0,0.5,26
18,0,3,3,3,3,3,4,3,14,,4,0,2.75,25
19,3,3,3,3,2,2,1,2,10,,3,1,2.375,26
20,3,3,2,1,2,1,2,3,10,,3,1,2.125,61
21,3,1,2,2,1,2,3,3,10,,3,1,2.125,67
22,3,3,2,2,2,2,2,2,9,,3,2,2.25,61
23,0,0,1,1,1,2,2,2,4,,2,0,1.125,53
24,2,1,0,0,0,0,1,1,2,,2,0,0.625,55
25,2,3,1,2,0,0,0,1,5,,3,0,1.125,46
26,0,0,2,2,3,4,4,3,11,,4,0,2.25,31
27,4,4,4,4,4,3,1,2,20,,4,1,3.25,33
28,3,3,2,1,1,1,2,3,9,,3,1,2,28
29,3,2,2,1,2,2,1,0,6,,3,0,1.625,24
30,0,1,1,1,2,2,1,3,6,,3,0,1.375,35
31,3,3,3,3,3,4,4,5,22,,5,3,3.5,42
