kp,0h-3h,3h-6h,6h-9h,9h-12h,12h-15h,15h-18h,18h-21h,21h-00h,Ap,,KP-MAX,KP-MIN,KP-AVE,SUNSPOTS
1-Jul,2,3,3,2,3,3,3,2,12,,3,2,2.625,11
2,3,3,4,4,3,2,3,3,17,,4,2,3.125,11
3,2,2,1,1,1,1,1,2,5,,2,1,1.375,0
4,1,1,1,0,0,0,1,2,4,,2,0,0.75,0
5,0,0,0,0,0,0,0,1,2,,1,0,0.125,11
6,1,1,1,1,2,2,1,3,6,,3,1,1.5,16
7,2,1,0,0,1,1,1,1,4,,2,0,0.875,25
8,1,0,0,1,0,0,1,0,2,,1,0,0.375,24
9,5,3,2,5,2,3,4,3,24,,5,2,3.375,31
10,3,4,2,1,1,1,1,2,8,,4,1,1.875,32
11,2,2,2,1,2,2,1,1,6,,2,1,1.625,27
12,1,1,1,1,1,1,1,1,4,,1,1,1,43
13,1,1,0,0,1,1,1,1,3,,1,0,0.75,55
14,0,0,0,0,1,1,0,0,2,,1,0,0.25,58
15,1,1,1,0,0,1,1,1,3,,1,0,0.75,34
16,2,1,5,5,6,2,6,5,44,,6,1,4,26
17,3,4,4,4,4,3,2,2,26,,4,2,3.25,13
18,2,3,2,1,1,1,0,1,6,,3,0,1.375,0
19,0,1,0,1,0,1,1,1,3,,1,0,0.625,0
20,1,1,1,1,1,2,3,3,6,,3,1,1.625,0
21,4,3,2,1,2,3,1,3,13,,4,1,2.375,0
22,3,2,4,4,2,2,2,2,15,,4,2,2.625,0
23,3,2,3,3,3,2,2,4,12,,4,2,2.75,0
24,2,3,3,2,2,2,2,3,10,,3,2,2.375,0
25,2,1,2,2,3,2,2,3,9,,3,1,2.125,12
26,4,2,4,1,2,1,1,0,10,,4,0,1.875,0
27,0,1,1,1,1,3,1,2,5,,3,0,1.25,0
28,1,1,1,1,2,3,3,2,7,,3,1,1.75,0
29,0,1,1,1,1,1,0,1,3,,1,0,0.75,12
30,1,1,1,1,0,1,1,0,3,,1,0,0.75,11
31,0,1,0,1,1,0,0,1,2,,1,0,0.5,0
