kp,0h-3h,3h-6h,6h-9h,9h-12h,12h-15h,15h-18h,18h-21h,21h-00h,Ap,,KP-MAX,KP-MIN,KP-AVE,SUNSPOTS
1-Mar,3,3,3,5,5,4,5,6,35,,6,3,4.25,55
2,5,4,4,5,5,3,4,2,32,,5,2,4,52
3,3,4,4,4,3,4,2,1,18,,4,1,3.125,36
4,4,4,3,3,3,3,3,4,20,,4,3,3.375,0
5,3,3,3,3,3,3,4,4,18,,4,3,3.25,11
6,4,3,1,4,4,3,5,4,23,,5,1,3.5,0
7,3,3,3,3,2,3,3,3,14,,3,2,2.875,0
8,3,1,1,2,3,2,4,4,12,,4,1,2.5,0
9,4,3,2,3,3,2,3,2,13,,4,2,2.75,0
10,2,3,3,3,2,1,0,2,10,,3,0,2,0
11,1,0,1,1,0,1,1,4,5,,4,0,1.125,0
12,3,4,1,1,2,1,1,1,8,,4,1,1.75,0
13,0,1,1,1,1,0,0,0,2,,1,0,0.5,0
14,0,1,1,0,2,2,1,1,4,,2,0,1,0
15,1,1,2,2,1,1,1,3,6,,3,1,1.5,0
16,3,2,0,0,1,0,1,1,4,,3,0,1,0
17,0,1,1,0,0,0,0,1,2,,1,0,0.375,0
18,1,0,0,0,0,0,1,1,2,,1,0,0.375,0
19,0,0,1,1,0,0,0,1,2,,1,0,0.375,0
20,0,0,0,0,0,1,0,0,1,,1,0,0.125,0
21,1,3,4,2,3,5,5,4,24,,5,1,3.375,12
22,4,4,3,3,4,4,4,4,24,,4,3,3.75,12
23,4,3,2,2,1,2,1,1,9,,4,1,2,12
24,2,2,1,1,2,2,1,0,5,,2,0,1.375,12
25,0,1,0,1,1,1,0,1,3,,1,0,0.625,11
26,2,0,0,1,1,1,0,1,3,,2,0,0.75,20
27,2,5,5,6,4,5,6,4,46,,6,2,4.625,49
28,5,5,3,4,3,3,3,3,27,,5,3,3.625,51
29,4,3,4,3,3,4,2,3,20,,4,2,3.25,53
30,3,4,3,2,3,3,4,4,19,,4,2,3.25,33
31,5,5,4,4,4,4,3,3,27,,5,3,4,65
