kp,Ap,KP-MAX,KP-MIN,KP-AVE,SUNSPOTS
1-Apr,15,4,2,3,79
2,7,3,0,1.625,75
3,4,2,0,1,97
4,19,5,1,3.125,75
5,8,3,1,1.75,37
6,6,3,0,1.375,38
7,9,3,1,2.125,27
8,15,4,2,3,0
9,15,5,1,2.625,13
10,4,2,0,0.875,13
11,10,4,1,2.25,12
12,5,3,0,0.875,13
13,4,2,0,0.75,12
14,11,3,2,2.625,11
15,6,3,0,1.25,11
16,3,1,0,0.75,0
17,3,1,0,0.75,0
18,6,3,0,1.25,12
19,14,4,1,2.5,14
20,28,6,2,3.875,26
21,17,5,0,2.25,39
22,47,6,4,5,29
23,36,5,4,4.375,43
24,19,4,2,3.25,41
25,10,3,2,2.375,36
26,8,3,1,1.875,36
27,6,2,1,1.5,23
28,5,2,1,1.25,35
29,5,2,1,1.5,34
30,5,2,1,1.375,33
