kp,Ap,KP-MAX,KP-MIN,KP-AVE,SUNSPOTS
1-Jul,12,3,2,2.625,11
2,17,4,2,3.125,11
3,5,2,1,1.375,0
4,4,2,0,0.75,0
5,2,1,0,0.125,11
6,6,3,1,1.5,16
7,4,2,0,0.875,25
8,2,1,0,0.375,24
9,24,5,2,3.375,31
10,8,4,1,1.875,32
11,6,2,1,1.625,27
12,4,1,1,1,43
13,3,1,0,0.75,55
14,2,1,0,0.25,58
15,3,1,0,0.75,34
16,44,6,1,4,26
17,26,4,2,3.25,13
18,6,3,0,1.375,0
19,3,1,0,0.625,0
20,6,3,1,1.625,0
21,13,4,1,2.375,0
22,15,4,2,2.625,0
23,12,4,2,2.75,0
24,10,3,2,2.375,0
25,9,3,1,2.125,12
26,10,4,0,1.875,0
27,5,3,0,1.25,0
28,7,3,1,1.75,0
29,3,1,0,0.75,12
30,3,1,0,0.75,11
31,2,1,0,0.5,0
