kp,Ap,KP-MAX,KP-MIN,KP-AVE,SUNSPOTS
1-Jun,6,3,0,1.375,18
2,4,2,1,1.125,19
3,8,4,0,1.75,22
4,2,1,0,0.25,23
5,5,3,0,1.125,22
6,4,2,0,1.125,18
7,4,2,0,1.125,13
8,3,1,0,0.625,12
9,3,2,0,0.75,0
10,3,1,0,0.625,0
11,15,5,0,2.5,0
12,6,2,1,1.5,0
13,6,3,0,1.5,11
14,5,2,0,1.25,11
15,3,2,0,0.75,28
16,23,5,1,3.5,28
17,14,4,1,2.75,28
18,10,3,2,2.25,27
19,4,2,0,1.125,26
20,2,1,0,0.375,34
21,3,2,0,0.75,35
22,4,2,0,0.875,23
23,4,2,0,1.125,22
24,8,3,1,2.125,28
25,9,3,2,2.125,20
26,6,2,1,1.75,19
27,4,2,1,1.125,17
28,3,2,0,0.75,13
29,4,2,0,1.25,12
30,3,2,0,0.875,11
