kp,Ap,KP-MAX,KP-MIN,KP-AVE,SUNSPOTS
1-Nov,2,1,0,0.625,0
2,7,3,1,1.75,0
3,8,3,1,1.875,0
4,3,1,0,0.75,0
5,1,1,0,0.125,0
6,1,1,0,0.125,0
7,35,6,1,4,0
8,44,6,3,4.5,0
9,18,4,3,3.375,0
10,20,4,3,3.5,0
11,7,3,1,1.625,0
12,5,2,1,1.375,0
13,6,2,0,1.25,0
14,11,3,1,2.5,14
15,11,3,2,2.5,14
16,14,4,1,2.625,15
17,4,2,0,1.125,26
18,6,2,1,1.875,14
19,4,2,0,1,0
20,6,4,0,1.125,0
21,27,5,3,4,0
22,10,3,2,2.375,0
23,8,3,1,2.125,0
24,9,3,0,1.75,0
25,6,3,0,1.25,13
26,2,1,0,0.625,15
27,4,2,0,1.125,15
28,7,3,0,1.5,14
29,4,2,0,1.125,12
30,10,4,1,2,11
