kp,Ap,KP-MAX,KP-MIN,KP-AVE,SUNSPOTS
1-Oct,11,3,2,2.5,34
2,5,3,0,1,25
3,6,3,0,1.25,25
4,5,2,0,1,27
5,6,3,0,1.125,26
6,8,3,1,1.875,22
7,3,2,0,0.75,11
8,3,2,0,0.5,0
9,1,2,0,0.25,0
10,2,2,0,0.25,0
11,28,5,3,4.125,0
12,26,5,3,3.75,0
13,37,6,2,4.25,0
14,30,5,3,4.125,0
15,25,5,1,3.5,12
16,8,3,1,2,0
17,5,2,1,1.125,0
18,4,2,0,1.125,0
19,12,4,2,2.625,0
20,7,4,0,1.75,0
21,8,3,1,2,11
22,6,3,0,1.375,13
23,4,2,0,1.125,23
24,18,5,1,3,23
25,19,5,2,3.25,24
26,17,4,1,3,23
27,4,2,0,0.875,23
28,5,2,1,1.25,22
29,3,2,0,0.625,23
30,2,1,0,0.375,22
31,2,2,0,0.375,11
