kp,0h-3h,3h-6h,6h-9h,9h-12h,12h-15h,15h-18h,18h-21h,21h-00h,Ap,,KP-MAX,KP-MIN,KP-AVE,SUNSPOTS
1-Feb,4,3,3,3,4,5,3,5,28,,5,3,3.75,28
2,3,4,4,3,3,4,4,4,21,,4,3,3.625,40
3,3,4,4,2,3,3,3,3,18,,4,2,3.125,39
4,2,3,3,2,2,2,2,2,10,,3,2,2.25,22
5,3,4,3,2,3,3,4,2,15,,4,2,3,22
6,3,3,2,2,3,3,2,4,12,,4,2,2.75,15
7,3,2,1,1,3,2,2,1,7,,3,1,1.875,11
8,1,0,1,1,2,2,1,1,4,,2,0,1.125,0
9,2,1,1,2,1,2,2,2,6,,2,1,1.625,15
10,2,1,2,1,2,2,1,2,7,,2,1,1.625,18
11,3,1,1,1,0,0,1,0,4,,3,0,0.875,18
12,1,0,0,0,0,1,2,0,3,,2,0,0.5,18
13,2,1,0,1,0,2,2,1,5,,2,0,1.125,16
14,0,0,0,0,0,0,1,1,1,,1,0,0.25,15
15,0,0,1,1,1,1,1,1,2,,1,0,0.75,23
16,1,2,2,1,2,3,2,2,8,,3,1,1.875,23
17,2,4,4,4,2,3,3,4,19,,4,2,3.25,14
18,4,4,2,2,1,2,3,3,16,,4,1,2.625,13
19,3,3,2,1,1,3,3,0,10,,3,0,2,23
20,0,3,2,2,2,3,3,1,9,,3,0,2,25
21,2,2,1,2,0,1,0,2,4,,2,0,1.25,19
22,4,3,2,2,1,2,2,1,9,,4,1,2.125,17
23,2,2,2,2,2,3,2,3,10,,3,2,2.25,18
24,5,3,3,4,3,3,2,3,18,,5,2,3.25,27
25,3,3,2,1,1,0,0,2,6,,3,0,1.5,25
26,1,1,0,0,1,0,0,0,2,,1,0,0.375,35
27,1,2,1,1,1,1,3,3,7,,3,1,1.625,40
28,3,2,2,1,1,1,2,3,8,,3,1,1.875,39
