kp,0h-3h,3h-6h,6h-9h,9h-12h,12h-15h,15h-18h,18h-21h,21h-00h,Ap,,KP-MAX,KP-MIN,KP-AVE,SUNSPOTS
1-Jun,0,1,1,0,1,3,2,3,6,,3,0,1.375,
2,2,1,1,1,1,1,1,1,4,,2,1,1.125,
3,0,0,2,2,3,4,2,1,8,,4,0,1.75,
4,1,1,0,0,0,0,0,0,2,,1,0,0.25,
5,1,1,0,1,3,1,1,1,5,,3,0,1.125,
6,2,2,1,1,1,1,0,1,4,,2,0,1.125,
7,1,2,2,1,1,1,0,1,4,,2,0,1.125,
8,1,1,0,0,1,1,0,1,3,,1,0,0.625,
9,2,1,0,0,1,1,1,0,3,,2,0,0.75,
10,1,1,0,1,0,0,1,1,3,,1,0,0.625,
11,0,2,2,1,3,5,4,3,15,,5,0,2.5,
12,1,1,1,1,2,2,2,2,6,,2,1,1.5,
13,3,2,1,2,1,2,1,0,6,,3,0,1.5,
14,0,1,1,2,2,2,1,1,5,,2,0,1.25,
15,2,1,0,1,1,0,1,0,3,,2,0,0.75,
16,1,2,4,4,5,4,3,5,23,,5,1,3.5,
17,4,4,1,2,2,2,4,3,14,,4,1,2.75,
18,3,3,2,2,2,2,2,2,10,,3,2,2.25,
19,1,2,2,2,2,0,0,0,4,,2,0,1.125,
20,0,1,1,0,0,1,0,0,2,,1,0,0.375,
21,0,0,0,0,1,1,2,2,3,,2,0,0.75,
22,2,1,1,0,0,0,2,1,4,,2,0,0.875,
23,1,0,1,1,1,1,2,2,4,,2,0,1.125,
24,1,1,2,3,2,2,3,3,8,,3,1,2.125,
25,2,2,3,2,2,2,2,2,9,,3,2,2.125,
26,2,2,1,2,2,2,2,1,6,,2,1,1.75,
27,2,1,1,1,1,1,1,1,4,,2,1,1.125,
28,1,2,1,1,1,0,0,0,3,,2,0,0.75,
29,0,2,2,2,1,1,1,1,4,,2,0,1.25,
30,0,0,1,1,1,1,1,2,3,,2,0,0.875,
