kp,0h-3h,3h-6h,6h-9h,9h-12h,12h-15h,15h-18h,18h-21h,21h-00h,Ap,,KP-MAX,KP-MIN,KP-AVE,SUNSPOTS
1-Nov,1,0,0,1,1,0,1,1,2,,1,0,0.625,0
2,3,2,1,1,2,1,1,3,7,,3,1,1.75,0
3,3,2,2,2,3,1,1,1,8,,3,1,1.875,0
4,1,1,1,0,1,1,0,1,3,,1,0,0.75,0
5,0,0,0,0,0,0,1,0,1,,1,0,0.125,0
6,1,0,0,0,0,0,0,0,1,,1,0,0.125,0
7,1,3,3,5,4,4,6,6,35,,6,1,4,0
8,6,6,3,4,5,4,3,5,44,,6,3,4.5,0
9,4,3,3,3,3,4,3,4,18,,4,3,3.375,0
10,3,3,4,4,4,4,3,3,20,,4,3,3.5,0
11,3,2,2,2,1,1,1,1,7,,3,1,1.625,0
12,1,2,1,1,1,1,2,2,5,,2,1,1.375,0
13,1,2,1,2,1,2,1,0,6,,2,0,1.25,0
14,3,3,3,1,2,3,2,3,11,,3,1,2.5,14
15,2,3,3,3,2,3,2,2,11,,3,2,2.5,14
16,4,4,3,2,1,2,2,3,14,,4,1,2.625,15
17,1,2,1,2,2,0,0,1,4,,2,0,1.125,26
18,2,2,2,2,2,2,1,2,6,,2,1,1.875,14
19,1,2,2,1,1,0,1,0,4,,2,0,1,0
20,1,0,0,0,0,2,2,4,6,,4,0,1.125,0
21,4,5,5,3,3,4,4,4,27,,5,3,4,0
22,2,3,2,2,3,2,3,2,10,,3,2,2.375,0
23,2,1,2,3,2,2,2,3,8,,3,1,2.125,0
24,3,2,2,1,0,0,3,3,9,,3,0,1.75,0
25,3,3,1,1,0,1,1,0,6,,3,0,1.25,13
26,0,0,1,0,1,1,1,1,2,,1,0,0.625,15
27,2,1,1,0,2,1,1,1,4,,2,0,1.125,15
28,3,2,1,2,2,0,1,1,7,,3,0,1.5,14
29,1,1,2,1,0,1,1,2,4,,2,0,1.125,12
30,2,4,1,1,2,3,1,2,10,,4,1,2,11
