                                       MONTHLY MEAN AMERICAN SUNSPOT NUMBERS
========================================================================================================
   Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
--------------------------------------------------------------------------------------------------------
    1944                                                                                            31.2
    1945    18.5    11.8    19.7    31.6    26.6    37.3    37.4    24.6    34.0    71.3    46.3    28.4

    1946    55.2    92.0    87.5    81.0    83.5    79.6   115.1   112.7   115.7   112.7   136.2   127.4
    1947   128.2   145.5   153.0   161.0   224.2   166.3   166.6   216.4   195.0   191.7   155.0   148.3
    1948   130.1   107.3   103.8   222.5   194.8   203.6   184.3   205.0   174.6   166.3   129.9   177.1
    1949   153.3   228.0   198.8   190.7   147.4   154.5   153.6   163.7   183.7   172.2   190.9   152.1
    1950   125.8   117.4   134.6   139.5   129.8    99.3   104.7   106.8    65.4    77.1    72.8    71.2

    1951    53.8    54.0    49.0    89.6    91.7    85.4    58.3    55.6    85.2    50.8    56.7    42.9
    1952    38.6    21.8    23.3    27.3    22.2    36.0    39.4    53.2    26.1    22.5    22.5    33.5
    1953    26.6     4.0     7.9    24.8    10.9    19.6     6.4    23.1    15.7     7.2     1.7     1.6
    1954     0.1     0.3     8.0     0.6     0.2     0.2     2.1     8.1     0.3     4.7     8.0     7.7
    1955    23.3    22.6     4.7     9.7    24.7    23.4    23.2    36.8    40.7    56.5    82.0    67.5

    1956    67.2   106.4   105.9   102.4   117.3   106.0   117.9   155.7   159.5   139.9   173.1   159.8
    1957   129.1   107.2   133.5   161.2   151.5   181.6   160.4   139.7   207.2   229.2   191.3   227.9
    1958   199.2   141.9   187.0   179.7   171.9   152.1   178.2   192.0   198.4   165.9   126.7   172.5
    1959   199.3   118.9   158.3   150.4   139.6   150.7   141.6   179.8   136.4   112.7   122.3   129.9
    1960   146.1   103.3    93.0   110.9   104.1    99.2   107.6   120.0   114.8    72.7    78.8    74.8

    1961    46.3    36.5    46.3    57.7    40.9    65.3    59.8    42.0    51.4    28.8    27.2    34.0
    1962    29.7    41.2    34.0    38.7    34.8    32.5    15.6    14.8    41.4    34.8    22.6    17.6
    1963    14.7    19.1    12.8    23.9    36.8    29.4    15.7    26.7    31.2    28.4    19.2     8.2
    1964    11.6    14.4    11.1     4.8     6.8     6.1     2.2     7.8     2.1     3.7     5.3    13.4
    1965    15.6    13.3     9.1     6.4    17.7    11.4     7.7     4.5    15.0    15.6    14.2    14.3

    1966    20.9    22.8    19.4    34.6    30.5    36.6    47.2    46.1    40.9    50.6    50.0    64.3
    1967   101.4    85.6   105.0    61.9    87.2    62.3    82.4    96.7    68.5    84.2    82.6   117.2
    1968   113.5    99.2    80.6    67.0   124.3   101.8    90.2    99.5   113.0    99.4    79.0   102.4
    1969   103.5   113.3   134.0   102.4   120.9   105.5    92.5    96.3    88.9    96.4    94.7   106.7
    1970   113.7   132.2    98.3   104.1   124.3   101.3   114.0    98.1   106.6    98.1   107.5    90.4

    1971    90.8    77.8    61.1    74.9    54.6    44.9    83.0    60.2    50.3    52.3    64.9    83.0
    1972    60.9    87.0    80.8    62.7    75.7    81.7    74.5    73.8    66.2    63.0    39.4    42.3
    1973    38.8    40.5    44.9    56.4    39.5    37.9    20.8    25.5    61.3    30.0    24.2    20.5
    1974    27.4    25.2    19.1    36.6    36.7    32.6    50.0    32.7    39.6    48.4    21.3    18.5
    1975    16.7    11.2    10.3     4.0     7.3    10.3    28.5    39.1    11.9     8.1    18.8     6.6

    1976     8.3     3.8    21.1    16.9    11.2    10.9     1.4    13.7    12.8    19.1     4.3    15.5
    1977    15.5    23.0     8.0    10.7    16.0    34.4    18.3    27.6    41.9    45.5    28.4    42.8
    1978    48.8    90.9    73.9    97.5    79.6    88.0    58.1    48.1   128.1   116.0    92.8   121.0
    1979   164.4   136.8   132.5    95.8   121.8   136.4   140.5   125.1   184.0   178.2   176.5   157.6
    1980   146.7   131.0   111.0   148.7   176.5   158.8   144.7   134.5   151.4   163.0   155.6   166.9

    1981   115.4   143.7   149.2   169.2   141.3    99.0   154.3   170.4   174.5   157.0   138.8   145.0
    1982   110.4   161.0   155.5   121.9    82.6   113.5   103.5   110.5   117.8    90.1    93.2   121.7
    1983    82.8    53.4    60.5    74.5    97.7    93.1    82.2    69.2    47.4    52.3    30.2    32.3
    1984    54.4    81.5    83.0    66.5    72.1    45.2    36.2    24.5    13.6     9.8    19.4    17.0
    1985    14.5    16.3    11.8    17.1    24.0    22.2    30.8    10.7     3.4    16.5    16.4    10.1

    1986     2.3    23.8    12.5    13.8    11.6     0.8    17.7     7.6     3.5    19.8    14.4     5.1
    1987     9.4     3.0    13.3    39.4    30.7    18.0    34.3    39.0    34.0    55.8    42.5    26.7
    1988    56.8    39.1    77.5    90.9    64.7   106.4   108.7   111.2   122.2   126.0   125.3   179.2
    1989   159.1   163.9   139.8   131.6   156.4   217.5   133.8   173.5   177.6   161.0   172.9   161.6
    1990   177.6   134.6   145.0   144.3   132.5   112.8   143.2   193.5   125.6   150.1   133.6   145.9

    1991   140.7   171.8   147.7   135.7   119.4   158.3   166.3   171.9   120.7   146.1   109.9   144.2
    1992   142.0   157.0   105.1    97.1    68.5    69.6    84.3    67.6    66.0    93.3    89.1    85.0
    1993    61.7    90.1    72.5    65.7    54.9    49.5    57.4    42.7    23.1    51.2    35.6    52.0
    1994    59.7    40.4    36.5    17.7    19.9    27.0    33.8    23.5    26.3    43.7    18.6    24.7
    1995    23.9    32.0    32.8    15.3    14.8    17.0    14.9    15.1    12.5    20.3    10.6    10.0

    1996    10.9     5.9     8.3     5.4     6.3    11.6     8.1    13.2     1.8     1.2    16.1    12.0
    1997     5.5     7.9     7.9    15.8    17.8    13.8     7.7    23.8    43.9    22.6    37.7    38.9
    1998    31.2    34.6    58.0    48.8    54.7    60.4    66.3    88.6    92.3    48.9    68.8    86.4
    1999    59.6    67.0    66.6    65.2   101.6   142.1   122.9    98.0    77.5   121.8   143.0    86.5
    2000    93.6   113.8   148.6   134.9   115.7   139.8   175.0   126.8   116.5   102.0   112.0   101.2

    2001   102.6    87.5   126.1   120.6   101.6   148.4    86.5   117.1   173.3   139.5   124.2   151.5
    2002   120.0   114.0    96.0   125.8   129.1    86.7   108.2   117.7   126.2   103.5    98.7    87.7
    2003    85.3    51.3    66.1    64.4    55.1    78.2    83.2    75.5    51.5    70.0    60.9    47.6
    2004    39.4    50.0    50.8    37.9    47.4    41.9    55.9    48.5    32.8    49.7    46.7    18.9
    2005    31.5    28.3    24.5    24.9    39.7    38.7    42.9    39.2    24.8     8.9    18.7    50.3

    2006    15.1     3.0     9.9    32.2    22.6    14.7    13.9    13.3    14.7     9.6    21.5    13.5
    2007    19.5    11.2     3.7    12.5    12.5    12.8    10.1     6.5     2.8     0.9     1.0    10.6
    2008     2.3     1.6     9.8     2.2     2.5     3.0     0.4     0.2     0.5     2.4     3.6     0.5
    2009     1.3     0.7     0.3     0.4     1.6     3.2     3.6     0.0     4.6     4.5     3.3    10.4
    2010    13.3    19.4    15.4     7.0     8.4    11.0    15.2    18.3    22.8    21.0    20.9    13.9

    2011    17.7    29.1    48.0    47.3    37.3    35.2    41.5    42.4    73.8    78.9    84.6    65.8
    2012    55.8    29.2    53.1    51.4    61.8    59.7    64.2    57.7    57.7    48.3    56.7    37.4
    2013    63.8    37.8    50.6    70.6    77.4    51.0    57.0    60.0    34.6    74.5    73.9    77.8
    2014    77.4    93.9    80.9    76.9    72.3    67.2    72.5    71.2    83.2    59.5    65.7    75.7
    2015    65.9    42.4    37.4    49.1    56.3    50.2    48.0    39.5    49.3    39.3    39.7    36.3

    2016    33.7    38.4    30.5    26.6    33.7    13.1    21.3    33.0    27.7    22.8    14.0    11.0
    2017    18.4    14.4    11.3    21.5    12.5    15.0
    2018
    2019
    2020

--------------------------------------------------------------------------------------------------------
